RowID,CallNumber,CallDuration,CallHour,CallMinute,CallSecond,UnitID,Incident Number,CallType,CallDate,Watch Date,ReceivedDtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,AvailableDtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location
190013942-E03,190013942,10.48333333,22,53,35,E03,19000458,Vehicle Fire,1/1/19,1/1/19,1/1/19 22:53:35,1/1/19 10:59:10 PM,1/1/19 10:59:19 PM,1/1/19 11:00:39 PM,1/1/19 11:02:44 PM,,,Fire,1/1/19 11:04:04 PM,EDDY ST/LARKIN ST,San Francisco,94109,B02,3,1643,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.783310888813, -122.417528774391)"
190013984-E03,190013984,5.033333326,23,17,2,E03,19000460,Vehicle Fire,1/1/19,1/1/19,1/1/19 23:17:02,1/1/19 11:18:29 PM,1/1/19 11:18:36 PM,1/1/19 11:19:45 PM,1/1/19 11:21:46 PM,,,Fire,1/1/19 11:22:04 PM,OFARRELL ST/HYDE ST,San Francisco,94109,B04,3,1544,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.78537597305, -122.416259705763)"
190013984-T03,190013984,5.033333326,23,17,2,T03,19000460,Vehicle Fire,1/1/19,1/1/19,1/1/19 23:17:02,1/1/19 11:18:29 PM,1/1/19 11:18:36 PM,1/1/19 11:20:19 PM,,,,Fire,1/1/19 11:22:04 PM,OFARRELL ST/HYDE ST,San Francisco,94109,B04,3,1544,3,3,3,FALSE,Fire,1,TRUCK,2,2,6,Tenderloin,"(37.78537597305, -122.416259705763)"
190023464-E03,190023464,4.466666674,20,0,57,E03,19000830,Outside Fire,1/2/19,1/2/19,1/2/19 20:00:57,1/2/19 8:00:57 PM,1/2/19 8:01:33 PM,1/2/19 8:02:52 PM,1/2/19 8:04:09 PM,,,Fire,1/2/19 8:05:25 PM,500 Block of JONES ST,San Francisco,94102,B01,3,1462,A,3,3,TRUE,Fire,1,ENGINE,1,1,6,Tenderloin,"(37.786268441716, -122.412997235896)"
190030280-E03,190030280,9.899999999,3,58,38,E03,19000942,Outside Fire,1/3/19,1/2/19,1/3/19 3:58:38,1/3/19 3:59:11 AM,1/3/19 3:59:20 AM,1/3/19 4:01:09 AM,1/3/19 4:03:24 AM,,,Fire,1/3/19 4:08:32 AM,100 Block of JONES ST,San Francisco,94102,B03,3,1456,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.782529744573, -122.412384547628)"
190030477-E41,190030477,8.800000004,7,1,30,E41,19000971,Outside Fire,1/3/19,1/2/19,1/3/19 7:01:30,1/3/19 7:03:16 AM,1/3/19 7:03:45 AM,1/3/19 7:05:49 AM,1/3/19 7:09:47 AM,,,Fire,1/3/19 7:10:18 AM,POLK ST/CEDAR ST,San Francisco,94109,B04,3,3121,3,3,3,FALSE,Fire,1,ENGINE,1,4,6,Tenderloin,"(37.786358950503, -122.419833090702)"
190032147-E03,190032147,1.149999996,14,49,34,E03,19001143,Vehicle Fire,1/3/19,1/3/19,1/3/19 14:49:34,1/3/19 2:49:34 PM,1/3/19 2:50:03 PM,1/3/19 2:50:24 PM,,,,Cancelled,1/3/19 2:50:43 PM,MCALLISTER ST/LARKIN ST,San Francisco,94102,B02,36,1553,C,3,3,TRUE,Fire,1,ENGINE,2,2,6,Tenderloin,"(37.780470341341, -122.416947606226)"
190032147-T05,190032147,2.16666666,14,49,34,T05,19001143,Vehicle Fire,1/3/19,1/3/19,1/3/19 14:49:34,1/3/19 2:49:34 PM,1/3/19 2:50:03 PM,,,,,Cancelled,1/3/19 2:51:44 PM,MCALLISTER ST/LARKIN ST,San Francisco,94102,B02,36,1553,C,3,3,TRUE,Fire,1,TRUCK,1,2,6,Tenderloin,"(37.780470341341, -122.416947606226)"
190033491-E36,190033491,5.066666667,20,48,16,E36,19001285,Outside Fire,1/3/19,1/3/19,1/3/19 20:48:16,1/3/19 8:48:16 PM,1/3/19 8:48:27 PM,1/3/19 8:49:55 PM,1/3/19 8:52:05 PM,,,Fire,1/3/19 8:53:20 PM,1200 Block of MARKET ST,San Francisco,94102,B02,36,1646,A,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.778302937782, -122.415436837337)"
190042827-E03,190042827,10.41666667,17,38,48,E03,19001632,Outside Fire,1/4/19,1/4/19,1/4/19 17:38:48,1/4/19 5:38:48 PM,1/4/19 5:39:55 PM,1/4/19 5:41:10 PM,1/4/19 5:44:48 PM,,,Fire,1/4/19 5:49:13 PM,0 Block of UNITED NATIONS PLZ,San Francisco,94102,B02,36,1551,C,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.779835867093, -122.414296503337)"
